match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
548324,20-Apr-2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,50.4,1
548325,21-Apr-2012,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.4,1
548326,22-Apr-2012,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,51.9,1
548327,23-Apr-2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,50.7,0
548328,24-Apr-2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.0,1
548329,25-Apr-2012,Deccan Chargers,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.2,1
548330,26-Apr-2012,Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,61.2,0
548331,27-Apr-2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
548332,28-Apr-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.3,1
548333,01-May-2012,Pune Warriors,Delhi Capitals,Pune Warriors,Pune Warriors,50.7,1
548334,02-May-2012,Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,54.4,1
548335,03-May-2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,56.9,1
548336,04-May-2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,54.8,0
548337,05-May-2012,Pune Warriors,Delhi Capitals,Delhi Capitals,Delhi Capitals,58.3,1
548339,06-May-2012,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.0,1
548341,07-May-2012,Deccan Chargers,Pune Warriors,Pune Warriors,Deccan Chargers,53.6,0
548342,08-May-2012,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,56.8,0
548343,09-May-2012,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,56.2,0
548344,10-May-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,52.3,1
548345,11-May-2012,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,53.3,1
548346,12-May-2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,Mumbai Indians,63.6,1
548347,13-May-2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.7,1
548348,14-May-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,Deccan Chargers,52.3,1
548349,15-May-2012,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,57.9,1
548350,16-May-2012,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,51.9,1
548351,17-May-2012,Mumbai Indians,Pune Warriors,Pune Warriors,Mumbai Indians,54.5,0
548352,18-May-2012,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Chennai Super Kings,54.4,0
548353,19-May-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,50.1,1
548354,20-May-2012,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,53.0,0
548355,21-May-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,64.3,1
548356,22-May-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,62.0,1
548357,23-May-2012,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,50.7,0
548358,24-May-2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.6,1
548359,25-May-2012,Punjab Kings,Deccan Chargers,Deccan Chargers,Punjab Kings,53.1,0
548360,26-May-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,60.3,1
548361,27-May-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.3,1
548362,28-May-2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,54.7,0
548363,01-Jun-2012,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,51.7,0
548364,02-Jun-2012,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.5,1
548365,03-Jun-2012,Rajasthan Royals,Pune Warriors,Pune Warriors,Rajasthan Royals,54.2,0
548366,04-Jun-2012,Deccan Chargers,Punjab Kings,Punjab Kings,Punjab Kings,51.7,1
548367,05-Jun-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,51.2,1
548368,06-Jun-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.4,1
548369,07-Jun-2012,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.5,1
548370,08-Jun-2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,60.0,0
548371,09-Jun-2012,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,60.8,1
548372,10-Jun-2012,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,53.8,1
548373,11-Jun-2012,Rajasthan Royals,Deccan Chargers,Deccan Chargers,Deccan Chargers,58.0,1
548374,12-Jun-2012,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,50.4,1
548375,13-Jun-2012,Kolkata Knight Riders,Pune Warriors,Pune Warriors,Kolkata Knight Riders,54.2,0
548376,14-Jun-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Deccan Chargers,64.0,0
548377,15-Jun-2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.8,1
548378,16-Jun-2012,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,57.9,0
548379,17-Jun-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,61.0,0
548380,18-Jun-2012,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,58.7,0
548381,19-Jun-2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.7,1
597998,02-Apr-2013,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,57.6,1
597999,03-Apr-2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,51.2,0
598000,04-Apr-2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Sunrisers Hyderabad,52.9,0
598001,05-Apr-2013,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,52.6,0
598002,06-Apr-2013,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,55.9,0
598003,07-Apr-2013,Pune Warriors,Punjab Kings,Punjab Kings,Punjab Kings,54.1,1
598005,08-Apr-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,54.5,0
598006,09-Apr-2013,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,58.6,0
598007,10-Apr-2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.4,1
598008,11-Apr-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.3,1
598009,12-Apr-2013,Rajasthan Royals,Pune Warriors,Pune Warriors,Pune Warriors,54.9,1
598010,13-Apr-2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,54.9,0
598011,14-Apr-2013,Mumbai Indians,Pune Warriors,Pune Warriors,Mumbai Indians,54.9,0
598012,15-Apr-2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,51.9,0
598013,16-Apr-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,52.8,1
598014,17-Apr-2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.1,1
